"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
"Power Spear","Power Spear","Two-Handed","5+StrB","--","--",2,2.5,"Rare","Penetrating (4), Reach, Two-Handed","A power spear is a somewhat uncommon weapon, largely only seen in the hands of elite guardians, often mimicking the nobility of the legendary Adeptus Custodes. While the penetrative ability afforded by the long haft and power field is great it suffers up close, and the relatively small section with a field covering it can make parrying effectively awkward.","E-AI 35"
"Power Scythe","Power Scythe","Two-Handed","6+StrB","--","--",3,5,"Exotic","Heavy (4), Penetrating (6), Two-Handed","An early weapon that seemed to disappear during the Great Crusades, the power scythe never established itself and was finally discontinued by Munitorum decree in M34. It still remains in use largely as an agricultural tool, but its efficacy as a weapon is still obvious. It has a farther reach than many power weapons, and the long blade can cut a swath of deadly energy across several foes in one arc.","E-AI 35"
"""Serpentine"" Power Rapier","""Serpentine"" Power Rapier","One-Handed","4+StrB","--","--",1,8,"Exotic","Fast, Penetrating (5)","Although blade weapons concealed in walking canes, rods of office and even umbrellas are far from uncommon among the Calixis Sector’s rich and powerful, few such weapons are as potent or as exclusive as the Serpentine. A thin rapier-like blade of the highest quality adamantine alloys and equipped with a miniaturised disruption field generator of great sophistication, it is a lightweight weapon and potentially devastating “surprise” for the unwary. Serpentines are custom made by commission and most take the form of elaborately carved walking sticks that disguise the weapon’s nature until activated. Famously, the notorious duellist and libertine, the Marchioness Alyssa Marque, formerly of House Llahst, is said to have a Serpentine variant concealed in the form of an exquisite lady’s fan that springs into lethal shape when triggered.","E-AI 35"
"Thunder Hammer 'Moxy Pattern'","Thunder Hammer 'Moxy Pattern'","Two-Handed","8+StrB","--","--",4,"2,500,000","Exotic","Heavy (5), Penetrating (8), Two-Handed","Thunder hammers incorporate large capacitors that constantly build a charge that is violently released on impact. As the symbol of the Ordo Malleus, thunder hammers are more than just weapons—they are a badge of office, and a symbol of their unending struggle against the Dark Gods of Chaos.","E-AI 35"
"Autoch Bolt Pistol","Autoch Bolt Pistol","Pistols",9,"Medium",3,2,"5,000 (500)","Rare","Burst, Close, Loud, Penetrating (5), Spread","The Autoch Pattern Bolt Weapons used by the Leagues of Votann are hand-held, ballistic, anti-personnel weapons used by their military forces that is very similar to the Imperial Bolter. It shares a common technological heritage from pre-Imperial Terra through STC databases, but are superior in almost every respect due to the employment of superlative materials and methods, and no fear of further innovating on ancient STC designs.","E-AL 2"
"Autoch Bolter","Autoch Bolter","Long Guns",9,"Long",5,3,"6,000 (600)","Rare","Loud, Penetrating (5), rapid Fire (2), Spread, Two-Handed","The Autoch Pattern Bolt Weapons used by the Leagues of Votann are hand-held, ballistic, anti-personnel weapons used by their military forces that is very similar to the Imperial Bolter. It shares a common technological heritage from pre-Imperial Terra through STC databases, but are superior in almost every respect due to the employment of superlative materials and methods, and no fear of further innovating on ancient STC designs.","E-AL 2"
"Autoch Combi-Bolter","Autoch Combi-Bolter","Ordnance",9,"Long",5,3,"7,000 (700)","Rare","Loud, Penetrating (5), rapid Fire (2), Spread, Two-Handed","The Autoch Pattern Bolt Weapons used by the Leagues of Votann are hand-held, ballistic, anti-personnel weapons used by their military forces that is very similar to the Imperial Bolter. It shares a common technological heritage from pre-Imperial Terra through STC databases, but are superior in almost every respect due to the employment of superlative materials and methods, and no fear of further innovating on ancient STC designs.","E-AL 2"
"Bolt Revolver 'Moxy Pattern'","Bolt Revolver 'Moxy Pattern'","Pistols",9,"Medium",6,0,"2,500 (250)","Rare","Close, Loud, Penetrating (6), Spread","The Bolt Revolver works similar to traditional revolvers in that its wielder must fire one projectile at a time with six separate chambers needing to be reloaded. It has very short effective ranges, like all pistols, but is more accurate than any other type of Bolt Pistol, whether Imperial or Kin-made.","E-AL 2"
"Bolt Shotgun","Bolt Shotgun","Long Guns",8,"Medium",8,1,"5,500 (550)","Rare","Inflict (Prone), Loud, Penetrating (5), Spread, Two-Handed","The Bolt Shotgun works similar to traditional shotguns, firing sprays of small explosive bolts rather than a single large projectile, though the range is relatively short. However, in return, the bolt shotgun is an excellent assault weapon that is possessed of a tremendous amount of stopping power.","E-AL 2"
"Bolt Cannon","Bolt Cannon","Ordnance",12,"Long",8,3,"8,000 (800)","Rare","Loud, Penetrating (6), Rapid Fire (4), Spread, Two-Handed","The Votannic Bolt Cannon is a heavy weapon that requires two hands to lift, possessing long range and the ability to unleash bolts of extremely powerful explosive force that slay hordes of enemies and can penetrate thick armor plates.","E-AL 2"
"Ion Pistol","Ion Pistol","Pistols",10,"Medium",3,1,"7,000 (700)","Rare","Close, Loud, Penetrating (7), Supercharge (5), Two-Handed","Kin-made Ion Weapons are man-portable, directed energy weapons that are capable of engaging enemies at long range with high-energy streams of ionized subatomic particles, vaporizing flesh and metal with equal ease. These high-energy ions containing an electric charge are accelerated by an electromagnetic field and react explosively with the target as a result of the direct transfer of energy at an atomic level.","E-AL 2"
"Ion Blaster","Ion Blaster","Long Guns",10,"Long",5,2,"8,000 (800)","Rare","Loud, Penetrating (7), Supercharge (5), Two-Handed","Kin-made Ion Weapons are man-portable, directed energy weapons that are capable of engaging enemies at long range with high-energy streams of ionized subatomic particles, vaporizing flesh and metal with equal ease. These high-energy ions containing an electric charge are accelerated by an electromagnetic field and react explosively with the target as a result of the direct transfer of energy at an atomic level.","E-AL 2"
"Ion Beamer","Ion Beamer","Ordnance",12,"Long",4,3,"9,000 (900)","Rare","Loud, Penetrating (8), Spread, Supercharge (5), Two-Handed","Kin-made Ion Weapons are man-portable, directed energy weapons that are capable of engaging enemies at long range with high-energy streams of ionized subatomic particles, vaporizing flesh and metal with equal ease. These high-energy ions containing an electric charge are accelerated by an electromagnetic field and react explosively with the target as a result of the direct transfer of energy at an atomic level.","E-AL 2"
"Cyclic Ion Cannon","Cyclic Ion Cannon","Ordnance",14,"Extreme",6,4,"10,000 (1,000)","Rare","Loud, Penetrating (7), Rapid Fire (2), Supercharge (5), Two-Handed","Kin-made Ion Weapons are man-portable, directed energy weapons that are capable of engaging enemies at long range with high-energy streams of ionized subatomic particles, vaporizing flesh and metal with equal ease. These high-energy ions containing an electric charge are accelerated by an electromagnetic field and react explosively with the target as a result of the direct transfer of energy at an atomic level.","E-AL 2"
"EtaCarn Plasma Pistol","EtaCarn Plasma Pistol","Pistols",12,"Medium",8,1,"10,000 (1,000)","Rare","Close, Loud, Penetrating (8), Supercharge (5)","The EtaCarn Plasma Weapons used by the Leagues and all their variants are made from the same common technological ancestor as Imperial plasma weapons, although far less prone to the explosive instability that supercharged Imperial plasma weaponry possesses. On a fumble when attacking with EtaCarn Plasma Weapons, on a result of 8+ on the Fumble Table (pg. 355 CRB), the weapon self-destructs instead, typically dealing its Damage to the arm wielding the weapon or a random arm if the weapon is two-handed.","E-AL 2"
"EtaCarn Plasma Gun","EtaCarn Plasma Gun","Ordnance",14,"Long",16,3,"15,000 (1,500)","Rare","Loud, Penetrating (8), Spread, Supercharge (5), Two-Handed","The EtaCarn Plasma Weapons used by the Leagues and all their variants are made from the same common technological ancestor as Imperial plasma weapons, although far less prone to the explosive instability that supercharged Imperial plasma weaponry possesses. On a fumble when attacking with EtaCarn Plasma Weapons, on a result of 8+ on the Fumble Table (pg. 355 CRB), the weapon self-destructs instead, typically dealing its Damage to the arm wielding the weapon or a random arm if the weapon is two-handed.","E-AL 3"
"EtaCarn Plasma Beamer","EtaCarn Plasma Beamer","Ordnance",12,"Long",14,2,"12,000 (1,200)","Rare","Loud, Penetrating (8), Spread, Supercharge (5), Two-Handed","The EtaCarn Plasma Weapons used by the Leagues and all their variants are made from the same common technological ancestor as Imperial plasma weapons, although far less prone to the explosive instability that supercharged Imperial plasma weaponry possesses. On a fumble when attacking with EtaCarn Plasma Weapons, on a result of 8+ on the Fumble Table (pg. 355 CRB), the weapon self-destructs instead, typically dealing its Damage to the arm wielding the weapon or a random arm if the weapon is two-handed.","E-AL 3"
"Magna-Coil Autocannon","Magna-Coil Autocannon","Ordnance",12,"Extreme",10,4,"4,000 (250)","Rare","Loud, Rapid Fire (4), Penetrating (6), Reliable","Solid Projectile weapons used by the Leagues of Votann share common ancestors with Imperial solid projectile weapons, but are typically superior in almost every respect.","E-AL 3"
